Nmax;hw;E
2;8;-13,7965
2;9;-15,7667
2;10;-17,4812
2;12,5;-20,6412
2;15;-22,3848
2;17,5;-23,1059
2;20;-23,186
2;22,5;-22,8559
2;25;-22,1914
2;27,5;-21,1856
2;30;-19,8098
2;32,5;-18,0411
2;35;-15,8686
2;37,5;-13,2924
2;40;-10,3208
2;42,5;-6,9676
2;45;-3,2501
2;47,5;0,8127
2;50;5,2006
4;8;-18,8096
4;9;-20,7023
4;10;-22,213
4;12,5;-24,5615
4;15;-25,4695
4;17,5;-25,61
4;20;-25,3924
4;22,5;-24,9948
4;25;-24,4731
4;27,5;-23,8322
4;30;-23,0558
4;32,5;-22,12
4;35;-20,9996
4;37,5;-19,6731
4;40;-18,1238
4;42,5;-16,3411
4;45;-14,3193
4;47,5;-12,057
4;50;-9,5565
6;8;-22,0666
6;9;-23,5947
6;10;-24,6803
6;12,5;-26,0339
6;15;-26,3753
6;17,5;-26,3569
6;20;-26,1864
6;22,5;-25,9129
6;25;-25,552
6;27,5;-25,1113
6;30;-24,5917
6;32,5;-23,9877
6;35;-23,289
6;37,5;-22,4826
6;40;-21,5549
6;42,5;-20,4934
6;45;-19,2871
6;47,5;-17,9274
6;50;-16,408
8;8;-24,2881
8;9;-25,3818
8;10;-26,0585
8;12,5;-26,7148
8;15;-26,7884
8;17,5;-26,705
8;20;-26,5568
8;22,5;-26,3602
8;25;-26,1135
8;27,5;-25,8123
8;30;-25,453
8;32,5;-25,0337
8;35;-24,5514
8;37,5;-24,0019
8;40;-23,3793
8;42,5;-22,6763
8;45;-21,8852
8;47,5;-20,9982
8;50;-20,0084
10;8;-25,6606
10;9;-26,3616
10;10;-26,7345
10;12,5;-27,0159
10;15;-27,0029
10;17,5;-26,9126
10;20;-26,786
10;22,5;-26,6313
10;25;-26,4471
10;27,5;-26,2287
10;30;-25,9711
10;32,5;-25,6704
10;35;-25,3236
10;37,5;-24,9281
10;40;-24,4813
10;42,5;-23,9801
10;45;-23,4206
10;47,5;-22,7981
10;50;-22,1078
12;8;-26,4773
12;9;-26,8877
12;10;-27,0741
12;12,5;-27,173
12;15;-27,1274
12;17,5;-27,0438
12;20;-26,9381
12;22,5;-26,8129
12;25;-26,6675
12;27,5;-26,4992
12;30;-26,3046
12;32,5;-26,0801
12;35;-25,8224
12;37,5;-25,5284
12;40;-25,1961
12;42,5;-24,8233
12;45;-24,408
12;47,5;-23,9478
12;50;-23,4398
14;8;-26,4773
14;9;-26,8877
14;10;-27,0741
14;12,5;-27,173
14;15;-27,1274
14;17,5;-27,0438
14;20;-26,9381
14;22,5;-26,8129
14;25;-26,6675
14;27,5;-26,4992
14;30;-26,3046
14;32,5;-26,0801
14;35;-25,8224
14;37,5;-25,5284
14;40;-25,1961
14;42,5;-24,8233
14;45;-24,408
14;47,5;-23,9478
14;50;-23,4398
16;8;-27,2004
16;9;-27,3153
16;10;-27,3511
16;12,5;-27,3361
16;15;-27,2803
16;17,5;-27,2098
16;20;-27,1293
16;22,5;-27,0391
16;25;-26,9385
16;27,5;-26,8262
16;30;-26,7003
16;32,5;-26,5592
16;35;-26,4006
16;37,5;-26,2224
16;40;-26,0225
18;8;-27,3494
18;9;-27,4054
18;10;-27,4166
18;12,5;-27,3863
18;15;-27,3313
18;17,5;-27,2663
18;20;-27,194
18;22,5;-27,1146
18;25;-27,0275
18;27,5;-26,9317
18;30;-26,8258
18;32,5;-26,7085
18;35;-26,5781
18;37,5;-26,4331
18;40;-26,2716
